close,high,low,open,symbol,volume,id,key,subkey,date,updated,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,label,change,changePercent
133.41,134.64,132.93,134.45,AAPL,68710998,HISTORICAL_PRICES,AAPL,,2021-06-24,1636136481000,-0.06654072208228373,-0.06654072208228373,134.45,133.41,134.64,132.93,68710998,134.0532,133.0163,134.2427,132.5377,68710998,"Jun 24, 21",-0.28999999999999204,-0.0022
133.11,133.89,132.81,133.46,AAPL,70783746,HISTORICAL_PRICES,AAPL,,2021-06-25,1636136471000,-0.0686397984886648,-0.0686397984886648,133.46,133.11,133.89,132.81,70783746,133.0661,132.7172,133.4949,132.4181,70783746,"Jun 25, 21",-0.29999999999998295,-0.0022
134.78,135.245,133.35,133.41,AAPL,62111303,HISTORICAL_PRICES,AAPL,,2021-06-28,1636136594000,-0.05695493982647626,-0.05695493982647626,133.41,134.78,135.245,133.35,62111303,133.0163,134.3822,134.8459,132.9565,62111303,"Jun 28, 21",1.6699999999999875,0.0125
136.33,136.49,134.35,134.8,AAPL,64556081,HISTORICAL_PRICES,AAPL,,2021-06-29,1636136481000,-0.046109711726840016,-0.046109711726840016,134.8,136.33,136.49,134.35,64556081,134.4022,135.9277,136.0872,133.9535,64556081,"Jun 29, 21",1.5500000000000114,0.0115
136.96,137.41,135.87,136.17,AAPL,63261393,HISTORICAL_PRICES,AAPL,,2021-06-30,1636136257000,-0.04170165127343955,-0.04170165127343955,136.17,136.96,137.41,135.87,63261393,135.7681,136.5558,137.0045,135.469,63261393,"Jun 30, 21",0.6299999999999955,0.0046
137.27,137.33,135.76,136.6,AAPL,52485781,HISTORICAL_PRICES,AAPL,,2021-07-01,1636136195000,-0.0395326056535123,-0.0395326056535123,136.6,137.27,137.33,135.76,52485781,136.1969,136.8649,136.9247,135.3594,52485781,"Jul 1, 21",0.3100000000000023,0.0023
139.96,140,137.745,137.9,AAPL,78945572,HISTORICAL_PRICES,AAPL,,2021-07-02,1636136281000,-0.02071088720962762,-0.02071088720962762,137.9,139.96,140,137.745,78945572,137.493,139.547,139.5868,137.3385,78945572,"Jul 2, 21",2.6899999999999977,0.0196
142.02,143.15,140.07,140.07,AAPL,108181793,HISTORICAL_PRICES,AAPL,,2021-07-06,1636136355000,-0.006297229219143418,-0.006297229219143418,140.07,142.02,143.15,140.07,108181793,139.6566,141.6009,142.7275,139.6566,108181793,"Jul 6, 21",2.0600000000000023,0.0147
144.57,144.89,142.66,143.535,AAPL,104911589,HISTORICAL_PRICES,AAPL,,2021-07-07,1636136195000,0.011544920235096599,0.011544920235096599,143.535,144.57,144.89,142.66,104911589,143.1114,144.1434,144.4624,142.239,104911589,"Jul 7, 21",2.549999999999983,0.018
143.24,144.06,140.665,141.58,AAPL,105575458,HISTORICAL_PRICES,AAPL,,2021-07-08,1636136389000,0.002239014833473423,0.002239014833473423,141.58,143.24,144.06,140.665,105575458,141.1622,142.8173,143.6349,140.2499,105575458,"Jul 8, 21",-1.329999999999984,-0.0092
145.11,145.65,142.6522,142.75,AAPL,99890800,HISTORICAL_PRICES,AAPL,,2021-07-09,1636136257000,0.015323257766582887,0.015323257766582887,142.75,145.11,145.65,142.6522,99890800,142.3287,144.6818,145.2202,142.2312,99890800,"Jul 9, 21",1.8700000000000045,0.0131
144.5,146.32,144,146.21,AAPL,76299719,HISTORICAL_PRICES,AAPL,,2021-07-12,1636136303000,0.011055135740274369,0.011055135740274369,146.21,144.5,146.32,144,76299719,145.7785,144.0736,145.8882,143.575,76299719,"Jul 12, 21",-0.6100000000000136,-0.0042
145.64,147.46,143.63,144.03,AAPL,100827099,HISTORICAL_PRICES,AAPL,,2021-07-13,1636136270000,0.019031626084522805,0.019031626084522805,144.03,145.64,147.46,143.63,100827099,143.6049,145.2102,147.0248,143.2061,100827099,"Jul 13, 21",1.1399999999999864,0.0079
149.15,149.57,147.68,148.1,AAPL,127050785,HISTORICAL_PRICES,AAPL,,2021-07-14,1636136389000,0.04359082003918289,0.04359082003918289,148.1,149.15,149.57,147.68,127050785,147.6629,148.7098,149.1286,147.2442,127050785,"Jul 14, 21",3.5100000000000193,0.0241
148.48,150,147.09,149.24,AAPL,106820297,HISTORICAL_PRICES,AAPL,,2021-07-15,1636136473000,0.038902882731598115,0.038902882731598115,149.24,148.48,150,147.09,106820297,148.7996,148.0418,149.5573,146.6559,106820297,"Jul 15, 21",-0.6700000000000159,-0.0045
146.39,149.76,145.88,148.46,AAPL,93251426,HISTORICAL_PRICES,AAPL,,2021-07-16,1636136209000,0.024279317100475786,0.024279317100475786,148.46,146.39,149.76,145.88,93251426,148.0219,145.958,149.318,145.4495,93251426,"Jul 16, 21",-2.0900000000000034,-0.0141
142.45,144.07,141.67,143.75,AAPL,121434571,HISTORICAL_PRICES,AAPL,,2021-07-19,1636136393000,-0.0032885530366638604,-0.0032885530366638604,143.75,142.45,144.07,141.67,121434571,143.3258,142.0296,143.6448,141.2519,121434571,"Jul 19, 21",-3.9399999999999977,-0.0269
146.15,147.0997,142.96,143.46,AAPL,96350036,HISTORICAL_PRICES,AAPL,,2021-07-20,1636136223000,0.022600055975370965,0.022600055975370965,143.46,146.15,147.0997,142.96,96350036,143.0366,145.7187,146.6656,142.5381,96350036,"Jul 20, 21",3.700000000000017,0.026
145.4,146.13,144.63,145.53,AAPL,74993460,HISTORICAL_PRICES,AAPL,,2021-07-21,1636136381000,0.017352364959417985,0.017352364959417985,145.53,145.4,146.13,144.63,74993460,145.1005,144.9709,145.6987,144.2032,74993460,"Jul 21, 21",-0.75,-0.0051
146.8,148.195,145.81,145.935,AAPL,77338156,HISTORICAL_PRICES,AAPL,,2021-07-22,1636136481000,0.02714805485586359,0.02714805485586359,145.935,146.8,148.195,145.81,77338156,145.5043,146.3668,147.7577,145.3797,77338156,"Jul 22, 21",1.4000000000000057,0.0096
148.56,148.7177,146.92,147.55,AAPL,71447416,HISTORICAL_PRICES,AAPL,,2021-07-23,1636136355000,0.039462636439966524,0.039462636439966524,147.55,148.56,148.7177,146.92,71447416,147.1146,148.1216,148.2788,146.4864,71447416,"Jul 23, 21",1.759999999999991,0.012
148.99,149.83,147.7,148.27,AAPL,72434089,HISTORICAL_PRICES,AAPL,,2021-07-26,1636136240000,0.04247131262244628,0.04247131262244628,148.27,148.99,149.83,147.7,72434089,147.8324,148.5503,149.3878,147.2641,72434089,"Jul 26, 21",0.4300000000000068,0.0029
146.77,149.21,145.55,149.12,AAPL,104818578,HISTORICAL_PRICES,AAPL,,2021-07-27,1636136355000,0.02693814721522546,0.02693814721522546,149.12,146.77,149.21,145.55,104818578,148.6799,146.3369,148.7697,145.1205,104818578,"Jul 27, 21",-2.219999999999999,-0.0149
144.98,146.97,142.54,144.81,AAPL,118931191,HISTORICAL_PRICES,AAPL,,2021-07-28,1636136594000,0.014413657990484205,0.014413657990484205,144.81,144.98,146.97,142.54,118931191,144.3826,144.5521,146.5363,142.1193,118931191,"Jul 28, 21",-1.7900000000000205,-0.0122
145.64,146.55,144.58,144.685,AAPL,56699475,HISTORICAL_PRICES,AAPL,,2021-07-29,1636136240000,0.019031626084522805,0.019031626084522805,144.685,145.64,146.55,144.58,56699475,144.258,145.2102,146.1175,144.1533,56699475,"Jul 29, 21",0.6599999999999966,0.0046
145.86,146.33,144.11,144.38,AAPL,70440626,HISTORICAL_PRICES,AAPL,,2021-07-30,1636136473000,0.020570948782535868,0.020570948782535868,144.38,145.86,146.33,144.11,70440626,143.9539,145.4295,145.8982,143.6847,70440626,"Jul 30, 21",0.22000000000002728,0.0015
145.52,146.95,145.25,146.36,AAPL,62879961,HISTORICAL_PRICES,AAPL,,2021-08-02,1636136374000,0.018191995521970494,0.018191995521970494,146.36,145.52,146.95,145.25,62879961,145.9281,145.0905,146.5163,144.8213,62879961,"Aug 2, 21",-0.3400000000000034,-0.0023
147.36,148.045,145.18,145.81,AAPL,64786618,HISTORICAL_PRICES,AAPL,,2021-08-03,1636136270000,0.031066330814441833,0.031066330814441833,145.81,147.36,148.045,145.18,64786618,145.3797,146.9251,147.6081,144.7516,64786618,"Aug 3, 21",1.8400000000000034,0.0126
146.95,147.79,146.28,147.27,AAPL,56368271,HISTORICAL_PRICES,AAPL,,2021-08-04,1636136223000,0.028197593059054026,0.028197593059054026,147.27,146.95,147.79,146.28,56368271,146.8354,146.5163,147.3538,145.8483,56368271,"Aug 4, 21",-0.410000000000025,-0.0028
147.06,147.84,146.17,146.98,AAPL,46397674,HISTORICAL_PRICES,AAPL,,2021-08-05,1636136270000,0.02896725440806056,0.02896725440806056,146.98,147.06,147.84,146.17,46397674,146.5462,146.626,147.4037,145.7386,46397674,"Aug 5, 21",0.11000000000001364,0.0007
146.14,147.11,145.63,146.35,AAPL,54126813,HISTORICAL_PRICES,AAPL,,2021-08-06,1636136195000,0.022530086761824792,0.022530086761824792,146.35,146.14,147.11,145.63,54126813,146.1367,145.927,146.8956,145.4178,54126813,"Aug 6, 21",-0.9200000000000159,-0.0063
146.09,146.7,145.52,146.2,AAPL,48908689,HISTORICAL_PRICES,AAPL,,2021-08-09,1636136257000,0.022180240694094713,0.022180240694094713,146.2,146.09,146.7,145.52,48908689,145.9869,145.8771,146.4862,145.3079,48908689,"Aug 9, 21",-0.04999999999998295,-0.0003
145.6,147.71,145.3,146.44,AAPL,69023081,HISTORICAL_PRICES,AAPL,,2021-08-10,1636136471000,0.0187517492303387,0.0187517492303387,146.44,145.6,147.71,145.3,69023081,146.2266,145.3878,147.4947,145.0882,69023081,"Aug 10, 21",-0.4900000000000091,-0.0034
145.86,146.72,145.53,146.05,AAPL,48493463,HISTORICAL_PRICES,AAPL,,2021-08-11,1636136270000,0.020570948782535868,0.020570948782535868,146.05,145.86,146.72,145.53,48493463,145.8372,145.6474,146.5062,145.3179,48493463,"Aug 11, 21",0.2600000000000193,0.0018
148.89,149.05,145.84,146.19,AAPL,73779113,HISTORICAL_PRICES,AAPL,,2021-08-12,1636136257000,0.041771620486985725,0.041771620486985725,146.19,148.89,149.05,145.84,73779113,145.977,148.673,148.8328,145.6275,73779113,"Aug 12, 21",3.0299999999999727,0.0208
149.1,149.4444,148.27,148.97,AAPL,59375009,HISTORICAL_PRICES,AAPL,,2021-08-13,1636136381000,0.043240973971452615,0.043240973971452615,148.97,149.1,149.4444,148.27,59375009,148.7529,148.8827,149.2266,148.0539,59375009,"Aug 13, 21",0.21000000000000796,0.0014
151.12,151.19,146.47,148.535,AAPL,103558782,HISTORICAL_PRICES,AAPL,,2021-08-16,1636136209000,0.057374755107752716,0.057374755107752716,148.535,151.12,151.19,146.47,103558782,148.3185,150.8998,150.9697,146.2565,103558782,"Aug 16, 21",2.0200000000000102,0.0135
