"EstablishmentID","InspectionID","Ins_TypeDesc","EstablishmentName","PlaceName","Address","Address2","City","State","Zip","TypeDescription","InspectionDate","score","Grade","NameSearch","Intersection"
"114056","1647795","COMPLAINT","LIMA'S BAKERY","","5600 NATIONAL TURNPIKE STE 2","","LOUISVILLE","KY","40214","FOOD SERVICE","2022-01-10 00:00:00","","","LIMA'S BAKERY",""
"109225","1647796","OFFICE","CHILI'S","","3623 BARDSTOWN RD","","LOUISVILLE","KY","40218","FOOD SERVICE","2022-01-04 00:00:00","","","CHILI'S",""
"77708","1647800","REGULAR","STARBUCKS #11798","","3954 TAYLORSVILLE RD","","LOUISVILLE","KY","40220","FOOD SERVICE","2022-01-21 00:00:00","99","A","STARBUCKS #11798",""
"94234","1647801","REGULAR","GIGI'S CUPCAKES","","1977 S HURSTBOURNE PKWY","","LOUISVILLE","KY","40220","RETAIL BAKERY","2022-01-21 00:00:00","100","","GIGI'S CUPCAKES",""
"77809","1647836","REGULAR","SKYLINE CHILI #3","","4024 DUTCHMANS LN","","LOUISVILLE","KY","40207","FOOD SERVICE","2022-01-21 00:00:00","98","A","SKYLINE CHILI #3",""
"88168","1647846","REGULAR","COALS ARTISAN PIZZA","","3724 FRANKFORT AVE","","LOUISVILLE","KY","40206","FOOD SERVICE","2022-01-21 00:00:00","99","A","COALS ARTISAN PIZZA",""
"94350","1632720","REGULAR","ZOO SNACK SHACK","","1100 TREVILIAN WAY","","LOUISVILLE","KY","40213","STATIONARY RESTRICTED CONCESSON","2021-10-27 00:00:00","99","","ZOO SNACK SHACK",""
"100276","1632721","REGULAR","ZOO LAKESIDE SMOKEHOUSE","","1100 TREVILIAN WAY","","LOUISVILLE","KY","40213","FOOD SERVICE","2021-10-27 00:00:00","99","A","ZOO LAKESIDE SMOKEHOUSE",""
"101044","1632724","REGULAR","ZOO DIPPIN' DOTS SPLASH PARK","","1100 TREVILIAN WAY","","LOUISVILLE","KY","40213","FOOD SERVICE","2021-10-27 00:00:00","100","A","ZOO DIPPIN' DOTS SPLASH PARK",""
"88068","1635850","REGULAR","NAM NAM CAFE","","318 WALLACE AVE","","LOUISVILLE","KY","40207","FOOD SERVICE","2021-11-12 00:00:00","86","A","NAM NAM CAFE",""
